,Unnamed: 0,Tour_Name,Tour_Type,Number_of_Reviewer,Duration,Price,Highlight,Location,Rating
1344,1344,1405. 5-day Siem Reap deep into Angkor temples & Floating village,Bus Tours,,3+ days,552.83,"Breakfast, Lunch, Dinner, Lunch, Breakfast, Breakfast, Lunch, Breakfast, Accommodation in Double/Twin shared with daily breakfast, English-speaking tour guide (other languages available upon request), Entrance fees as mentioned in the program, Water during transfer, Air-conditioned vehicle, Entry/Admission - Angkor Thom, Entry/Admission - Angkor Wat, Entry/Admission - Ta Prohm, Entry/Admission - Prasat Kravan, Entry/Admission - Banteay Kdei, Entry/Admission - Srah Srang, Entry/Admission - Preah Khan, Entry/Admission - Neak Pean, Entry/Admission - Ta Som, Entry/Admission - Pre Rup, Entry/Admission - Tonle Sap Lake, Entry/Admission - Wat Bo Temple, Entry/Admission - Psar Chaa - Old Market, Entry/Admission - Wat Thmey (Killing Fields)","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
1476,1476,"1537. Phnom Kulen, 1000 Linga River and Waterfall",Bus Tours,,6–7 hours,130,"Local live English Speaking Guide, Hotel pickup and drop-off, Cold water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
1268,1268,1329. 2-Day Temples with Sunrise Small Group Tour of Siem Reap,Adventure Tours,,2 days,49,"2 days exploring the major temples including Bayteay Srei temple, Licensed and experienced English speaking tour guide, Air-con vehicle, Hotel pickup and drop off, Local tax, Mineral Water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
3689,3689,Angkor Wat Private Trip Sunrise Tour With Breakfast included,Bus-and-Minivan-Tours,, 6 to 7 hours (approx.),$36.00 ,"All local taxes, Cold Water during touring, Private tour with a tuk tuk or air conditioned vehicle, Professional English speaking tour guide, Breakfast","Krong Siem Reap, Cambodia",
2989,2989,Siem Reap to Poi Pet / Poi Pet to Siem Reap (Thai Border),Private-Drivers,, 3 hours (approx.),,"Bottled water, Air-conditioned vehicle, Private transportation","Siem Reap, Cambodia",
942,942,1003. Explore Sihanoukville's Nearby Islands,Full-day Tours,1.0,6+ hours,148.2,"Pick up & Drop off at hotel, English speaking guide, Seafood lunch as indicated, Fruit and Soft drinks, Snorkeling gear, Lunch, Snacks, Bottled water","Asia, Cambodia, Sihanoukville Province, Sihanoukville, Things to Do in Sihanoukville, Sihanoukville Tours, Tours and Tickets",5
3630,3630,"Full Day From Siem Reap - Bamboo Train, Killing Cave & Sunset (Free Pick up)",Day-Trips,, 15 hours (approx.),$125.00 ,"Pick-up and drop-off hotel in Siem Reap, Drinking water and cool towel during trip, Lunch, Snacks, Private air-condition transportation, Entry/Admission(Bamboo Train Battambang,Wat Banan Temple,The Killing","Krong Siem Reap, Cambodia",
1450,1450,1511. Private Full Day Small Group of Angkor Wat Tour,Full-day Tours,1.0,7–8 hours,85,"Airconditioned vehecle with insurance, Service of English speaking tour guide, Water bottles and cold towel during the tour, Service of hotel pick up and drop off, Entry/Admission - Ta Prohm","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
2090,2090,2151. Ceramic Pottery Workshop,Pottery Classes,,2 hours,38.98,"Ceramic Pottery Workshop, Return transfer by Remork (Tuk Tuk) from/to your hotel in town","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
3753,3753,Siem Reap City Tour & The Cambodian Circus,Day-Trips,, 8 to 9 hours (approx.),$79.50 ,"Round trip by Tuk Tuk, English speaking guide, Museum and Artisans Angkor entrance fees, Dinner, Ticket for the Cambodian Circus show, Snacks and drinks throughout the day","Siem Reap, Cambodia",
887,887,"948. Siem Reap Airport or Hotel Transfer (VIP:Starex, H1)",20–30 minutes,1.0,20–30 minutes,25,"One way: 4-seat airconditioned vehicle transfer for 1-3pax, Travel insurance during transfer, Service of driver from airport to hotel or hotel to airport, Unlimited water bottle and cold towel","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
2687,2687,5-Day All Major Temples & Kulen Mount Waterfall & Koh Ker & Beng Mealea,Multi-day-Tours,8.0, 5 days  (approx.),$430.00 ,"Private A/C Vehicle with driver, English Speaking Guide with licensed, Cool drinking waters & wet towels, Parking fees & Road tolls, Start pick up at your hotel and finish drop you at hotel","Siem Reap, Cambodia",star-5
685,685,746. 2-Day Angkor Complex & Banteay Srei Tour.,Bus Tours,4.0,2 days,225,"A full day tour with a professional English-speaking guide., Transportation by air-conditioned vehicle with professional driver, All applicable taxes and service charges, Cool water and Cool wet towel","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
413,413,474. Half Day Angkor National Museum Tour,Bus Tours,,3 hours,29.5,"English speaking guide, Refreshment drink & cold towel, Air-conditioned vehicle","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
789,789,850. Mekong Delta 4 days from HCM city to Phu Quoc island / Phnom Penh,Adventure Tours,2.0,3+ days,594.88,"Breakfast, Lunch, Lunch, Dinner, Breakfast, Breakfast, Private transportation, Accommodation (2 night in 3 star hotel & 1 night in home-stay), Boat ticket from Ha Tien to Phu Quoc Island / Chau Doc to Phnom Penh, Private boat from Vinh Long to Can Tho, All entrance fees, Boat trip, Bottled water placed on car, English Speaking Guide, Entry/Admission - Phong Dien Floating Market, Entry/Admission - Cai Rang Floating Market, Entry/Admission - Tra Su Bird Sanctuary","Asia, Vietnam, Ho Chi Minh City, Things to Do in Ho Chi Minh City, Ho Chi Minh City Tours, Tours and Tickets",5
2480,2480,Angkor Wat Admission Ticket,Sightseeing-Passes,133.0, 1 to 7 days (approx.),$59.89 ,"Delivery to your hotel front desk under your name (in the evening at 6 pm for your visit on the next following days), Visit from sunrise to sunset (on own arrangement), Angkor National Park Ticket (1-Day, 2-Day, 3-Day or 7-Day)","Siem Reap, Cambodia",star-5
1697,1697,1758. Full Day Kulen Mountain Biking to Waterfall,Adventure Tours,,9–12 hours,185.89,"Kulen Pass, English adventure guide, Lunch, Snack, Vehicle followed, Entry/Admission - Phnom Kulen National Park","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
1431,1431,1492. Phnom Penh Full Day City Exploration by Private Car,6+ hours,,6+ hours,58.67,"Air-conditioned vehicle, Private transportation, Parking Fees","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",
2900,2900,Private Half Day Tour to ROYAL PALACE â€“ NATIONAL MUSEUM,Half-day-Tours,2.0, 3 to 4 hours (approx.),,"Private English Speaking Tour Guide, Private Transportation with A/C, Pure Drinking Water, hotel pick up & drop off","Phnom Penh, Cambodia",star-3.5
2615,2615,"Angkor Wat 1Day Visit,Siem Reap,Cambodia",Full-day-Tours,2.0, 5 to 6 hours (approx.),,"All local Applicable taxes, Cold Towel & Cold Water during tour, Hotel pick up & Drop off, Professional English Tour Guide, Return hotel about 1.00 PM","Krong Siem Reap, Cambodia",star-5
1995,1995,2056. Angkor Complex Exploration With Jeep Tour & Zipline,Full-day Tours,,6+ hours,184.62,"Private Transportation by US Army Jeep, Private English Speaking Tour Guide, Angkor Pass Full Day ($37), Meals, Drinks & Snack, Cold Water & Towel, Entry/Admission - Angkor Archaeological Park","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
272,272,333. Siem Reap: Tonle Sap and Kampong Phluk Tour with Street Food,Bus Tours,13.0,6–7 hours,55,"Vaccinated English speaking tour guide and driver, Tonle Sap ticket and a boat cruise, Bottle of water and 1-beer, Pick-up & Drop-off at your hotel, Air-conditioned transportation (Minivan/Minibus), Food tour (Taste different authentic dishes), Entry/Admission - Kampong Phluk Floating Village","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
2067,2067,2128. Full-Day Koh Ker Group & Beng Mealea & Roluos Group Private Tour,Full-day Tours,,8–10 hours,104,"Private A/C Vehicle with driver, English Speaking Guide with licensed, Parking fees & Road tolls, Cool drinking waters & wet towels, Start pick up at your hotel and finish drop you at hotel","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
521,521,582. -1Day Discover Angkor Wat Sunrise Private Tours,Full-day Tours,19.0,6+ hours,110,"Air-conditioned vehicle, Licensed and experienced English Speaking tour guide, Cold drinking water and cold towels, pick up and drop off","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
522,522,583. Angkor Wat Small Circuit Tour,Bus Tours,20.0,5–6 hours,64.11,"Professional Transport, Experieced Tour Guide, Cold Water & Towel","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
1718,1718,1779. Private 07 Day Trip: Phnom Penh-Battambang-Siem Reap,Bus Tours,,3+ days,610,"Private Tour Guide, Private Transportation, Pure Drinking Water, Bamboo Train Fee in Battambang, Ek Phnom Ticket, Phnom Sampov Bat Cave Fee, Entry/Admission - Central Market, Entry/Admission - Prasat Ek Phnom, Entry/Admission - Battambang Bat Caves, Entry/Admission - Artisans Angkor","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",
350,350,411. Angkor Wat Sunrise Half Day by Join-in Tour,Walking Tours,,5 hours,26,"Professional English Speaking guide, Transported by air conditioner mini bus, Cold bottle of Water and cold towels, hotel pick up( 4:15-4:55 am), hotel drop off, Note: we use motor bike for one pax per day, 3 pax with Lexus and 4 by min van","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
2578,2578,Siem Reap Cooking Class,Cooking-Classes,89.0, 3 hours (approx.),$30.00 ,"Bottled water, Private transportation, All Fees and Taxes, All cooking equipment and ingredients","Krong Siem Reap, Cambodia",star-5
3427,3427,The Magnificent Angkor Wat,Bus-and-Minivan-Tours,16.0, 5 to 8 hours (approx.),$36.33 ,"Hotel pickup and drop-off, Private tour, Transport by private vehicle, Driver, Professional guide, Cold Water","Siem Reap, Cambodia",star-5
2940,2940,Private One Day Tour with Sunrise at Angkor Wat,Day-Trips,, 6 to 8 hours (approx.),$66.67 ,"Private Transportation with A/C, English Speaking Tour Guide, Pure Drinking Water, hotel pick up & drop off, Parking Fees","Siem Reap, Cambodia",
1988,1988,2049. Full-Day Angkor and Temples Cycling Tour,Full-day Tours,,6+ hours,45,"Professional Biking and Historical Guide, Hotel pickup and drop-off, High Performance Giant XTC SLR 27.5"" Size range from XS to XL, Lunch at Good Service Restaurant, Snack and Fruits, Pure Drinking Water and Drink, Private Tuk Tuk Back Up (inform guide 1 hour before), First Aid kits, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
651,651,"712. Private Trip-The Best Experience in Angkor Wat, Angkor Thom and Ta Prohm",Bus Tours,7.0,8–9 hours,128.21,"Professional guide, Bottled water, Hotel/port pickup and drop-off, Private tour, Transport by air-conditioned minivan, Entry/Admission - Angkor Thom South Gate, Entry/Admission - Baphuon Temple, Entry/Admission - Phimeanakas, Entry/Admission - Terrace of the Elephants, Entry/Admission - Terrace of the Leper King","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
3061,3061,Phnom Krom for Sunset Cycling Tour,Nature-and-Wildlife,3.0, 4 hours (approx.),$75.00 ,"English speaking Guide, Modern, high-quality mountain bikes with; large gear sets, disc brakes and good front suspension, Bottle Water, Coke, Hotel pick up / Drop-off","Phnom Penh, Cambodia",star-5
3253,3253,Private: Full-Day Koh Ker and Beng Mealea Temple from Siem Reap,Day-Trips,, 8 hours (approx.),$132.06 ,"English Speaking Guide (License guide) (1Days Tour) - Private, Air-con Vehicle (Van or Bus) (1Days), Mineral Water, Pickup and drop off from hotel client stay (in Siem Reap)","Siem Reap, Cambodia",
3498,3498,Motorbike Rental service,Bike-Rentals,, 1 day  (approx.),,We offer free helmet to the renter with no extra charge.,"Krong Siem Reap, Cambodia",
1537,1537,1598. Banteay Srei & Kulen Mountain & Boeng Mealea,Full-day Tours,,6+ hours,169,"• Professional Tour Guide, • Private VIP A/C Vehicle & Driver, • Pick Up/Drop Off, • Cold Water,Soft Drink and Towel","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
1754,1754,1815. Two Day Discovering Angkor with Floating Village,Bus Tours,,2 days,307.7,"Air-conditioned vehicle, Cold Towel/ cold water, English Speaking Tourguide, Boat ticket to Floating Village, Entry/Admission - Kompong Phluk","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
2400,2400,2461. 5 Days Cambodian Civilization Discovery,Multi-day Tours,,3+ days,558,"Transportation in private air-conditioned vehicles, Lunch, Lunch, Dinner, Angkor Park 3 Days Pass, English speaking guide, Entry/Admission - Angkor National Museum, Entry/Admission - Bakong, Entry/Admission - Chong Kneas Floating Village, Entry/Admission - Siem Reap, Entry/Admission - Phnom Kulen National Park, Entry/Admission - Banteay Srei, Entry/Admission - Banteay Samre, Entry/Admission - Angkor Wat, Entry/Admission - Angkor Thom, Entry/Admission - Ta Prohm","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
1736,1736,1797. Private Car from Siem Reap - Phnom Penh,4–5 hours,,4–5 hours,138.67,"Drinking water during the tour, Private transportation, Air-conditioned vehicle","Asia, Cambodia, Siem Reap Province, Siem Reap, Svay Dangkum, Things to Do in Svay Dangkum, Svay Dangkum Tours, Tours and Tickets",
168,168,199. Siem Reap Countryside Sunset Ride,Adventure Tours,41.0,5 hours,35,"Hotel pick up & Drop Off, Professional English-speaking guide, Bicycle & Helmet, Village donation, Light refreshment, Local snacks and fruits, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
3503,3503,"Angkor Park Small, Big Circuit and Banteay Srei Tour in 2 Days",Hiking-and-Camping Tours,, 2 days  (approx.),$103.59 ,"English Speaking Guide with licensed, Pick up & drop off at hotel, Air-conditioned vehicle with driver, Cool water and Cool wet towel, Start pick up at your hotel and finish drop you at hotel","Siem Reap, Cambodia",
